leto,zmagovalec,drzava,cas,milje,kilometri
1902,Sammy Mellor,United States,02:43:12,24.5,39.4
1924,Clarence DeMar,United States,02:29:40,26.1,42.0
1903,John Lordan,United States,02:41:29,24.5,39.4
1904,Michael Spring,United States,02:38:04,24.5,39.4
1917,Bill Kennedy,United States,02:28:37,24.5,39.4
1970,Sara Mae Berman,United States,3:05:07,26.2,42.2
1919,Carl Linder,United States,02:29:13,24.5,39.4
1922,Clarence DeMar,United States,02:18:10,24.5,39.4
1923,Clarence DeMar,United States,02:23:47,24.5,39.4
1925,Charles Mellor,United States,02:33:00,26.1,42.0
1926,Johnny Miles,Canada,02:25:40,26.1,42.0
1927,Clarence DeMar,United States,02:40:22,26.2,42.2
1928,Clarence DeMar,United States,02:37:07,26.2,42.2
1929,Johnny Miles,Canada,02:33:08,26.2,42.2
2000,Catherine Ndereba,Kenya,2:26:11,26.2,42.2
1930,Clarence DeMar,United States,02:34:48,26.2,42.2
1931,James Henigan,United States,02:46:45,26.2,42.2
1969,Sara Mae Berman,United States,3:22:46,26.2,42.2
1971,Sara Mae Berman,United States,3:08:30,26.2,42.2
1993,Olga Markova,Russia,2:25:27,26.2,42.2
1994,Uta Pippig,Germany,2:21:45,26.2,42.2
2000,Elijah Lagat,Kenya,02:09:47,26.2,42.2
